,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세
294개월,1,1,1,1,2,2,3,4,3,4,4,3,4,4,4,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1
288개월,1,1,1,1,2,2,3,4,3,4,4,3,4,4,4,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1
282개월,1,1,1,1,2,2,3,4,3,4,4,3,4,5,4,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1
276개월,1,1,1,1,2,2,3,4,3,4,4,3,4,4,4,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1
270개월,1,1,1,1,2,2,3,4,3,4,4,3,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
264개월,1,1,1,1,2,2,3,4,3,4,4,3,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
258개월,1,1,1,1,2,2,3,4,3,4,4,3,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
252개월,1,1,1,1,2,2,3,4,3,4,4,4,5,5,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
246개월,1,1,1,1,2,2,3,4,3,4,4,4,5,5,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
240개월,1,1,1,1,2,2,3,4,3,4,4,3,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
234개월,1,1,1,1,2,2,3,4,3,4,4,3,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
228개월,1,1,1,1,2,2,3,3,2,3,3,3,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
222개월,1,1,1,1,2,2,3,3,2,3,3,3,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
216개월,1,1,1,1,2,2,3,3,2,3,3,3,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210개월,1,1,1,1,2,2,3,3,2,3,3,3,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
204개월,1,1,1,1,2,2,3,3,2,3,3,3,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
198개월,1,1,1,1,2,2,3,3,2,3,3,3,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
192개월,1,1,1,1,2,2,3,3,2,3,3,3,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
186개월,1,1,1,1,2,2,3,3,2,3,3,3,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
180개월,1,2,1,1,2,2,3,3,2,3,3,3,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
174개월,1,2,1,1,1,1,2,2,2,3,3,3,5,4,3,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1
168개월,1,2,1,1,1,1,2,2,2,3,3,3,5,4,3,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1
162개월,1,1,2,1,1,1,2,2,2,3,3,3,5,4,3,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1
156개월,1,2,1,1,1,1,2,2,2,3,3,3,5,4,3,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1
150개월,1,1,2,1,1,1,2,2,2,3,3,3,5,4,3,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1
144개월,1,2,1,1,1,1,2,2,2,3,3,3,5,4,3,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1
138개월,1,2,1,1,1,1,2,2,2,3,3,3,5,4,3,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
132개월,1,2,1,1,1,1,2,2,2,3,3,3,5,4,3,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
126개월,1,1,1,1,1,1,2,2,2,3,3,3,5,4,3,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
120개월,1,1,1,1,1,1,2,2,2,3,3,3,5,4,3,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
114개월,1,1,1,1,1,1,2,3,3,4,4,3,5,4,3,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
108개월,1,1,1,1,1,1,2,3,3,4,4,3,5,4,3,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
102개월,1,1,1,1,1,1,2,3,3,4,4,4,5,5,4,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1
96개월,1,1,1,1,1,1,2,3,3,4,4,4,5,5,4,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1
90개월,1,1,1,1,1,1,2,3,3,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1
84개월,1,1,1,1,1,1,2,3,3,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1
78개월,1,1,1,1,1,1,2,3,3,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1
72개월,1,1,1,1,1,1,2,3,3,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
66개월,1,1,1,1,1,1,2,3,3,4,4,3,3,4,4,3,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,3,3,2,2,2,2,1,1
60개월,1,1,1,1,1,1,2,3,3,4,4,3,4,4,4,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1
54개월,1,1,1,1,1,1,2,3,3,4,4,3,4,4,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
48개월,1,1,1,1,1,1,2,3,3,4,4,3,4,4,3,3,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,3,2,2,3,2,1,1
42개월,1,1,1,1,1,2,3,3,3,4,3,3,4,4,3,3,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,3,2,2,3,2,1,1
36개월,1,1,1,1,1,2,3,3,3,3,3,3,4,5,5,3,2,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,3,1,1
30개월,1,1,1,1,1,2,3,3,3,3,3,3,4,5,5,3,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,1
24개월,1,1,1,1,1,2,3,3,3,3,3,3,4,5,5,3,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,1
18개월,1,1,1,1,1,2,3,3,3,3,3,3,5,5,5,3,2,2,2,2,1,1,1,1,1,2,2,2,2,3,3,2,3,3,2,3,2,2,2
12개월,1,1,1,1,2,2,3,3,2,3,3,3,4,4,5,4,2,2,2,2,1,1,1,1,1,2,2,2,2,2,3,2,3,3,2,2,2,2,2
